ARCHER User Jobs Report:  n02 ( NCAS (National Centre for Atmospheric Science) )
Report produced on 2021-05-24 .
A total of 169 jobs were submitted on ARCHER by Dr Annette Osprey in project n02 ( NCAS (National Centre for Atmospheric Science) ) during the period Nov - Dec 2020 .
Job list for specified period (limited to 200 entries).
Alps ID,Batch ID,Username,Start,End,Runtime / s,Job size / Nodes,Processes per node,Peak memory per Node / GiB,Total energy / J,Mean node power / W,Application
46178096,7491070.sdb,annette@archer,20/11/20 13:10,20/11/20 13:17,412,2,4,83.2,133726,162.289,xios
46178865,7491164.sdb,annette@archer,20/11/20 13:44,20/11/20 13:44,8,2,4,14.748,2012,125.75,xios
46188572,7491529.sdb,annette@archer,20/11/20 15:03,20/11/20 15:07,234,2,4,31.45,80880,172.821,xios
46235275,7492231.sdb,annette@archer,20/11/20 20:14,21/11/20 06:26,36687,758,8,79.825,6437201489,231.481,Unified Model
46237638,7492592.sdb,annette@archer,21/11/20 07:31,21/11/20 12:28,17806,758,8,59.28,3108411309,230.305,Unified Model
46387501,7496496.sdb,annette@archer,25/11/20 21:54,26/11/20 07:22,34051,758,8,61.332,5966808474,231.176,Unified Model
46397773,7497859.sdb,annette@archer,26/11/20 13:43,26/11/20 23:21,34698,758,8,54.378,6070051226,230.791,Unified Model
46462249,7499545.sdb,annette@archer,27/11/20 05:35,27/11/20 16:41,39975,758,8,71.738,6889136188,227.356,Unified Model
46468229,7500248.sdb,annette@archer,27/11/20 09:28,27/11/20 09:28,7,2,4,14.748,1453,103.786,xios
46468702,7500303.sdb,annette@archer,27/11/20 09:43,27/11/20 09:43,7,2,4,14.748,1414,101,xios
46468829,7500321.sdb,annette@archer,27/11/20 09:47,27/11/20 09:51,244,2,4,31.456,81889,167.805,xios
46469126,7500347.sdb,annette@archer,27/11/20 09:56,27/11/20 10:00,245,2,4,31.456,83278,169.955,xios
46469296,7500357.sdb,annette@archer,27/11/20 10:01,27/11/20 10:01,7,2,4,14.748,1411,100.786,xios
46469511,7500369.sdb,annette@archer,27/11/20 10:10,27/11/20 10:10,6,2,4,14.748,1329,110.75,xios
46469724,7500374.sdb,annette@archer,27/11/20 10:21,27/11/20 10:21,7,2,4,14.763,1291,92.214,xios
46470950,7500457.sdb,annette@archer,27/11/20 11:15,27/11/20 11:19,245,2,4,31.456,81960,167.265,xios
46471446,7500522.sdb,annette@archer,27/11/20 11:48,27/11/20 11:52,253,2,4,31.456,84541,167.077,xios
46475841,7501045.sdb,annette@archer,27/11/20 20:23,28/11/20 06:31,36454,758,8,57.734,6304327380,228.152,Unified Model
46535948,7501883.sdb,annette@archer,28/11/20 14:38,29/11/20 01:03,37536,758,8,62.74,6481210421,227.792,Unified Model
46591567,7503907.sdb,annette@archer,29/11/20 01:58,29/11/20 11:33,34521,758,8,58.931,6031980672,230.519,Unified Model
46645503,7504658.sdb,annette@archer,29/11/20 11:35,29/11/20 21:00,33917,758,8,75.06,5952084912,231.517,Unified Model
46680247,7505559.sdb,annette@archer,29/11/20 22:05,30/11/20 08:16,36661,758,8,75.206,6377805090,229.508,Unified Model
46717597,7506138.sdb,annette@archer,30/11/20 08:21,30/11/20 18:18,35837,758,8,51.704,6259696910,230.437,Unified Model
46718245,7506180.sdb,annette@archer,30/11/20 08:54,30/11/20 08:57,231,2,4,31.456,80629,174.522,xios
46723007,7506223.sdb,annette@archer,30/11/20 09:23,30/11/20 09:27,214,2,4,15.532,73659,172.1,xios
46728471,7506309.sdb,annette@archer,30/11/20 09:50,30/11/20 09:54,260,2,4,31.458,89875,172.837,xios
46730428,7506337.sdb,annette@archer,30/11/20 09:58,30/11/20 10:02,251,2,4,31.458,85419,170.157,xios
46731652,7506357.sdb,annette@archer,30/11/20 10:04,30/11/20 10:07,228,2,4,31.439,76441,167.634,xios
46781363,7507698.sdb,annette@archer,30/11/20 18:25,01/12/20 04:35,36593,758,8,68.069,6351486781,228.986,Unified Model
46837224,7508130.sdb,annette@archer,01/12/20 09:59,01/12/20 21:54,42917,758,8,61.427,7312876460,224.797,Unified Model
46841018,7508568.sdb,annette@archer,01/12/20 11:51,01/12/20 11:52,37,2,4,15.667,9078,122.676,xios
46841092,7508617.sdb,annette@archer,01/12/20 11:59,01/12/20 12:03,229,2,4,31.438,78927,172.33,xios
46841180,7508674.sdb,annette@archer,01/12/20 12:12,01/12/20 12:12,30,2,4,14.98,6964,116.067,xios
46841248,7508683.sdb,annette@archer,01/12/20 12:19,01/12/20 12:23,267,2,4,37.035,92095,172.463,xios
46841332,7508699.sdb,annette@archer,01/12/20 12:36,01/12/20 12:36,11,2,4,14.966,2338,106.273,xios
46841346,7508700.sdb,annette@archer,01/12/20 12:41,01/12/20 12:45,261,2,4,37.035,89484,171.425,xios
46855164,7509609.sdb,annette@archer,01/12/20 21:56,02/12/20 08:55,39519,758,8,54.471,6801045336,227.039,Unified Model
46905560,7510032.sdb,annette@archer,02/12/20 08:57,02/12/20 19:54,39411,758,8,61.406,6752175411,226.025,Unified Model
46915341,7510159.sdb,annette@archer,02/12/20 10:05,02/12/20 10:10,276,2,4,21.894,89797,162.676,xios
46919243,7510190.sdb,annette@archer,02/12/20 10:22,02/12/20 10:26,259,2,4,36.79,88267,170.4,xios
46967959,7511431.sdb,annette@archer,02/12/20 21:50,03/12/20 09:25,41711,758,8,77.087,7079901116,223.927,Unified Model
47022212,7512260.sdb,annette@archer,03/12/20 09:30,03/12/20 21:24,42845,758,8,53.272,7254228635,223.368,Unified Model
