PBS ID,Cycle,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
6379770,20060416T0000Z,33.0,10977.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6391391,20060419T0000Z,30.0,11054.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6402614,20060422T0000Z,40.0,11049.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6414082,20060425T0000Z,31.0,11076.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6424874,20060428T0000Z,1326.0,11751.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6439581,20060501T0000Z,81.0,10899.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6450363,20060504T0000Z,18.0,11162.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6460576,20060507T0000Z,12.0,11056.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6472225,20060510T0000Z,14.0,10975.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6483174,20060513T0000Z,10.0,10965.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6494508,20060516T0000Z,16.0,10645.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6505741,20060519T0000Z,16.0,11056.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6517610,20060522T0000Z,1615.0,11137.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6530244,20060525T0000Z,31.0,11505.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6542129,20060528T0000Z,35.0,12059.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6553276,20060601T0000Z,43.0,10873.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6564530,20060604T0000Z,2817.0,10977.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6583899,20060607T0000Z,28769.0,11225.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6843731,20060610T0000Z,3467.0,11527.0,um-atmos.exe,19395195.0,300.0,11412.6,80%,11.6T,31%,117.5M,759.1G,711.7G,790.2M,/projects,608.5G,763.9G,36.7k,36.7k,19.0,331.4k,0.0,268.6k,1.0,0.0,0.0,0.0,1.0,0.0
6860568,20060613T0000Z,32575.0,11187.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6909246,20060616T0000Z,442.0,11106.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6920026,20060619T0000Z,8660.0,11350.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6939414,20060622T0000Z,28.0,11451.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6950699,20060625T0000Z,719.0,11558.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6961631,20060628T0000Z,396.0,12437.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6974050,20060701T0000Z,7554.0,11478.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6992979,20060704T0000Z,120.0,11588.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7004091,20060707T0000Z,4918.0,11065.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7019492,20060710T0000Z,46.0,11258.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7030392,20060713T0000Z,12033.0,11670.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7052183,20060716T0000Z,350.0,11212.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7063268,20060719T0000Z,1629.0,11381.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7074532,20060722T0000Z,73.0,11158.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7083881,20060725T0000Z,9.0,11689.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7094813,20060728T0000Z,3493.0,12132.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7110830,20060801T0000Z,212.0,11373.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7122416,20060804T0000Z,13139.0,11769.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7146911,20060807T0000Z,19938.0,11213.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7177355,20060810T0000Z,2294.0,11664.0,,,,,,,,,,,,,,,,,,,,,,,,,,
