PBS ID,Cycle,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
97400,20070301T0000Z,422,9387,,,,,,,,,,,,,,,,,,,,,,,,,,
110474,20070306T0000Z,72,9450,,,,,,,,,,,,,,,,,,,,,,,,,,
123742,20070311T0000Z,53,9315,,,,,,,,,,,,,,,,,,,,,,,,,,
137158,20070316T0000Z,76,9626,,,,,,,,,,,,,,,,,,,,,,,,,,
149218,20070321T0000Z,56,9318,,,,,,,,,,,,,,,,,,,,,,,,,,
161803,20070326T0000Z,55,9361,,,,,,,,,,,,,,,,,,,,,,,,,,
172598,20070401T0000Z,65,9392,,,,,,,,,,,,,,,,,,,,,,,,,,
183379,20070406T0000Z,69119,9352,,,,,,,,,,,,,,,,,,,,,,,,,,
282944,20070411T0000Z,56,9330,,,,,,,,,,,,,,,,,,,,,,,,,,
293359,20070416T0000Z,663,9577,,,,,,,,,,,,,,,,,,,,,,,,,,
305497,20070421T0000Z,44,9350,,,,,,,,,,,,,,,,,,,,,,,,,,
318306,20070426T0000Z,54,9347,um-atmos.exe,69715587.0,202.0,9284.7,64%,12.1T,48%,63.0M,780.8G,822.6G,476.6M,/projects,701.7G,883.0G,3.8k,3.8k,3.0,214.6k,0.0,188.4k,0.0,0.0,0.0,0.0,0.0,0.0
630612,20070501T0000Z,57765,9195,,,,,,,,,,,,,,,,,,,,,,,,,,
714739,20070506T0000Z,71,9261,,,,,,,,,,,,,,,,,,,,,,,,,,
725866,20070511T0000Z,72,11394,um-atmos.exe,70045667.0,202.0,11334.3,79%,1.4T,6%,77.2M,781.4G,822.3G,560.7M,/projects,701.7G,882.7G,3.8k,3.8k,3.0,214.6k,0.0,188.6k,0.0,0.0,0.0,0.0,0.0,0.0
740103,20070516T0000Z,50,9399,,,,,,,,,,,,,,,,,,,,,,,,,,
750969,20070521T0000Z,54,9342,,,,,,,,,,,,,,,,,,,,,,,,,,
762179,20070526T0000Z,53210,9613,,,,,,,,,,,,,,,,,,,,,,,,,,
837090,20070601T0000Z,48,9308,um-atmos.exe,70141358.0,202.0,9253.2,64%,12.1T,48%,62.9M,781.5G,822.6G,478.6M,/projects,702.0G,883.0G,3.9k,3.9k,21.0,214.7k,0.0,188.8k,0.0,0.0,0.0,0.0,0.0,0.0
849266,20070606T0000Z,125,9307,,,,,,,,,,,,,,,,,,,,,,,,,,
863012,20070611T0000Z,2557,9477,um-atmos.exe,70166788.0,202.0,9420.0,65%,12.1T,48%,64.0M,782.0G,823.0G,483.1M,/projects,701.7G,883.5G,3.9k,3.9k,19.0,214.8k,0.0,188.8k,0.0,0.0,0.0,0.0,0.0,0.0
880569,20070616T0000Z,1657,9522,,,,,,,,,,,,,,,,,,,,,,,,,,
895860,20070621T0000Z,58,9478,,,,,,,,,,,,,,,,,,,,,,,,,,
966709,20070626T0000Z,301,10098,um-atmos.exe,70250715.0,202.0,9429.1,65%,11.2T,44%,64.2M,527.3G,822.6G,481.8M,/projects,421.4G,883.1G,3.8k,3.8k,21.0,214.6k,0.0,188.5k,0.0,0.0,0.0,0.0,0.0,0.0
979476,20070701T0000Z,1416,9392,,,,,,,,,,,,,,,,,,,,,,,,,,
994711,20070706T0000Z,49,9321,,,,,,,,,,,,,,,,,,,,,,,,,,
1004727,20070711T0000Z,59,9434,,,,,,,,,,,,,,,,,,,,,,,,,,
1017274,20070716T0000Z,1554,9428,,,,,,,,,,,,,,,,,,,,,,,,,,
1029492,20070721T0000Z,52,9668,,,,,,,,,,,,,,,,,,,,,,,,,,
1039609,20070726T0000Z,923,9379,,,,,,,,,,,,,,,,,,,,,,,,,,
1052389,20070801T0000Z,61,9745,,,,,,,,,,,,,,,,,,,,,,,,,,
1067525,20070806T0000Z,84,9894,um-atmos.exe,70353975.0,202.0,9835.5,68%,10.0T,40%,66.7M,785.2G,822.9G,499.3M,/projects,701.7G,883.3G,3.9k,3.9k,19.0,214.7k,0.0,188.8k,0.0,0.0,0.0,0.0,0.0,0.0
1083619,20070811T0000Z,62,9609,,,,,,,,,,,,,,,,,,,,,,,,,,
1100102,20070816T0000Z,874,9808,,,,,,,,,,,,,,,,,,,,,,,,,,
1117394,20070821T0000Z,2026,10098,um-atmos.exe,70417311.0,202.0,10036.9,70%,4.4T,18%,68.2M,784.8G,1010.6G,509.0M,/projects,701.7G,1.1T,3.8k,3.8k,3.0,262.8k,0.0,188.4k,0.0,0.0,0.0,0.0,0.0,0.0
1136403,20070826T0000Z,93,9926,,,,,,,,,,,,,,,,,,,,,,,,,,
2599315,20070901T0000Z,35182,9293,um-atmos.exe,71873979.0,202.0,9241.7,64%,11.3T,45%,63.1M,525.2G,823.1G,476.0M,/projects,421.4G,883.5G,3.8k,3.8k,21.0,214.7k,0.0,188.5k,0.0,0.0,0.0,0.0,0.0,0.0
2652624,20070906T0000Z,56,9434,,,,,,,,,,,,,,,,,,,,,,,,,,
2665226,20070911T0000Z,62,9506,,,,,,,,,,,,,,,,,,,,,,,,,,
2677930,20070916T0000Z,71,9580,,,,,,,,,,,,,,,,,,,,,,,,,,
2690264,20070921T0000Z,53,9471,,,,,,,,,,,,,,,,,,,,,,,,,,
2701636,20070926T0000Z,52,9564,,,,,,,,,,,,,,,,,,,,,,,,,,
2712640,20071001T0000Z,42,9348,,,,,,,,,,,,,,,,,,,,,,,,,,
2723870,20071006T0000Z,50,9296,,,,,,,,,,,,,,,,,,,,,,,,,,
2735728,20071011T0000Z,64,9421,,,,,,,,,,,,,,,,,,,,,,,,,,
2748337,20071016T0000Z,50,9350,,,,,,,,,,,,,,,,,,,,,,,,,,
2760030,20071021T0000Z,51,9358,,,,,,,,,,,,,,,,,,,,,,,,,,
2771021,20071026T0000Z,49,9541,,,,,,,,,,,,,,,,,,,,,,,,,,
2782724,20071101T0000Z,55,9391,,,,,,,,,,,,,,,,,,,,,,,,,,
2795302,20071106T0000Z,59,9400,,,,,,,,,,,,,,,,,,,,,,,,,,
2807511,20071111T0000Z,58,9334,,,,,,,,,,,,,,,,,,,,,,,,,,
2819957,20071116T0000Z,31,9301,,,,,,,,,,,,,,,,,,,,,,,,,,
2832815,20071121T0000Z,47,9298,um-atmos.exe,72058848.0,202.0,9239.9,64%,12.1T,48%,62.7M,781.8G,823.9G,474.2M,/projects,701.7G,884.4G,3.9k,3.9k,19.0,215.0k,0.0,188.8k,0.0,0.0,0.0,0.0,0.0,0.0
2844373,20071126T0000Z,73,9623,,,,,,,,,,,,,,,,,,,,,,,,,,
2858189,20071201T0000Z,64,9292,,,,,,,,,,,,,,,,,,,,,,,,,,
2868861,20071206T0000Z,52,9191,um-atmos.exe,72090691.0,202.0,9128.4,63%,12.1T,48%,62.0M,781.0G,823.2G,466.8M,/projects,701.7G,883.7G,3.8k,3.8k,3.0,214.8k,0.0,188.4k,0.0,0.0,0.0,0.0,0.0,0.0
2879750,20071211T0000Z,28,9225,,,,,,,,,,,,,,,,,,,,,,,,,,
2892131,20071216T0000Z,61,9229,,,,,,,,,,,,,,,,,,,,,,,,,,
2905467,20071221T0000Z,59,9362,,,,,,,,,,,,,,,,,,,,,,,,,,
2919628,20071226T0000Z,66,9676,,,,,,,,,,,,,,,,,,,,,,,,,,
2934125,20080101T0000Z,1103,9417,,,,,,,,,,,,,,,,,,,,,,,,,,
2950482,20080106T0000Z,75,9365,,,,,,,,,,,,,,,,,,,,,,,,,,
2963461,20080111T0000Z,48,9371,,,,,,,,,,,,,,,,,,,,,,,,,,
2976665,20080116T0000Z,64,9058,um-atmos.exe,72194300.0,202.0,9002.5,63%,12.1T,48%,61.2M,780.4G,823.2G,460.3M,/projects,701.7G,883.6G,3.8k,3.8k,3.0,214.8k,0.0,188.4k,0.0,0.0,0.0,0.0,0.0,0.0
2988769,20080121T0000Z,47,8969,,,,,,,,,,,,,,,,,,,,,,,,,,
3000660,20080126T0000Z,48,9279,,,,,,,,,,,,,,,,,,,,,,,,,,
3160750,20080201T0000Z,664,9014,,,,,,,,,,,,,,,,,,,,,,,,,,
3174004,20080206T0000Z,57,9027,,,,,,,,,,,,,,,,,,,,,,,,,,
3188861,20080211T0000Z,80,9089,,,,,,,,,,,,,,,,,,,,,,,,,,
3202969,20080216T0000Z,51,9040,um-atmos.exe,72411746.0,202.0,8981.0,62%,12.1T,48%,61.0M,782.1G,822.8G,461.5M,/projects,701.7G,883.2G,3.8k,3.8k,2.0,214.7k,0.0,188.3k,0.0,0.0,0.0,0.0,0.0,0.0
3216390,20080221T0000Z,71,9119,um-atmos.exe,72423435.0,202.0,9058.5,63%,12.0T,48%,61.4M,783.7G,823.6G,464.6M,/projects,701.7G,884.1G,3.9k,3.9k,19.0,214.9k,0.0,188.8k,0.0,0.0,0.0,0.0,0.0,0.0
3229682,20080226T0000Z,90,9290,,,,,,,,,,,,,,,,,,,,,,,,,,
3242744,20080301T0000Z,54,9024,,,,,,,,,,,,,,,,,,,,,,,,,,
3254980,20080306T0000Z,56,9018,,,,,,,,,,,,,,,,,,,,,,,,,,
3263158,20080311T0000Z,70,9047,,,,,,,,,,,,,,,,,,,,,,,,,,
3274843,20080316T0000Z,79,9095,,,,,,,,,,,,,,,,,,,,,,,,,,
3285514,20080321T0000Z,73,9017,,,,,,,,,,,,,,,,,,,,,,,,,,
3295830,20080326T0000Z,42,9332,um-atmos.exe,72511154.0,202.0,9272.2,64%,12.0T,48%,62.9M,782.5G,1010.3G,471.3M,/projects,701.7G,1.1T,3.8k,3.8k,3.0,262.7k,0.0,188.4k,0.0,0.0,0.0,0.0,0.0,0.0
3307226,20080401T0000Z,77,9084,um-atmos.exe,72526433.0,202.0,9023.3,63%,12.0T,48%,61.2M,782.2G,823.2G,461.2M,/projects,702.1G,883.7G,3.9k,3.9k,21.0,214.8k,0.0,188.8k,0.0,0.0,0.0,0.0,0.0,0.0
3318806,20080406T0000Z,69,9068,,,,,,,,,,,,,,,,,,,,,,,,,,
3330304,20080411T0000Z,52,9043,,,,,,,,,,,,,,,,,,,,,,,,,,
3339376,20080416T0000Z,24,9022,,,,,,,,,,,,,,,,,,,,,,,,,,
3348450,20080421T0000Z,44,9024,,,,,,,,,,,,,,,,,,,,,,,,,,
3356301,20080426T0000Z,52,9372,,,,,,,,,,,,,,,,,,,,,,,,,,
3370474,20080501T0000Z,68,9075,,,,,,,,,,,,,,,,,,,,,,,,,,
3385863,20080506T0000Z,73,8980,,,,,,,,,,,,,,,,,,,,,,,,,,
3400905,20080511T0000Z,95,9087,,,,,,,,,,,,,,,,,,,,,,,,,,
3414658,20080516T0000Z,62,9152,,,,,,,,,,,,,,,,,,,,,,,,,,
3429018,20080521T0000Z,58,9089,,,,,,,,,,,,,,,,,,,,,,,,,,
3443300,20080526T0000Z,116,9382,,,,,,,,,,,,,,,,,,,,,,,,,,
3800286,20080601T0000Z,169,8997,um-atmos.exe,73006549.0,202.0,8937.7,62%,11.3T,45%,60.9M,522.8G,822.7G,459.2M,/projects,421.3G,883.1G,3.8k,3.8k,19.0,214.6k,0.0,188.5k,0.0,0.0,0.0,0.0,0.0,0.0
3814694,20080606T0000Z,3110,9078,um-atmos.exe,73025450.0,202.0,9021.0,63%,12.1T,48%,61.3M,781.4G,822.4G,465.8M,/projects,701.7G,882.8G,3.8k,3.8k,2.0,214.6k,0.0,188.3k,0.0,0.0,0.0,0.0,0.0,0.0
3833725,20080611T0000Z,73,9174,,,,,,,,,,,,,,,,,,,,,,,,,,
3847163,20080616T0000Z,51,9233,,,,,,,,,,,,,,,,,,,,,,,,,,
3860976,20080621T0000Z,51,9149,um-atmos.exe,73066166.0,202.0,9092.6,63%,12.0T,48%,61.6M,784.7G,822.3G,465.2M,/projects,701.7G,882.7G,3.9k,3.9k,19.0,214.6k,0.0,188.8k,0.0,0.0,0.0,0.0,0.0,0.0
3874416,20080626T0000Z,56,9398,,,,,,,,,,,,,,,,,,,,,,,,,,
3886220,20080701T0000Z,55,9163,,,,,,,,,,,,,,,,,,,,,,,,,,
3898795,20080706T0000Z,51,9196,,,,,,,,,,,,,,,,,,,,,,,,,,
